Unnamed: 0,combine_year,POS,HEIGHT,WEIGHT,BMI,BODY.FAT,STANDING.REACH,WINGSPAN,HAND.LENGTH,HAND.WIDTH,STANDING.VERTICAL,MAX.VERTICAL,LANE.AGILITY,SHUTTLE.RUN,THREE.QUARTER.SPRINT,BENCH.PRESS,WINGSPAN.HEIGHT.RATIO,STANDING.TOUCH,MAX.TOUCH,Name,above_max_vert_mean
349,2017,PG,75.25,189.8,23.56,6.2,101.5,79.5,8.25,8.5,31.0,36.5,10.84,2.92,3.08,10.0,1.056,132.5,138.0,Derrick White,1
350,2017,PG,73.5,190.2,24.75,5.6,99.0,79.25,8.75,9.3,27.5,34.5,10.42,3.08,3.19,10.0,1.078,126.5,133.5,Nigel Williams-Goss,0
352,2017,C,82.5,248.4,25.66,7.6,108.5,85.0,9.0,10.5,26.0,31.5,12.85,3.3,3.45,6.0,1.03,134.5,140.0,Omer Yurtseven,0
404,2015,SG/SF,77.25,230.6,27.17,5.0,101.0,83.75,8.5,9.5,38.0,43.0,11.13,2.88,3.22,12.0,1.084,139.0,144.0,Justin Anderson,1
405,2015,PF,79.25,228.0,25.52,8.8,105.0,87.75,9.0,9.5,31.5,35.5,11.21,3.35,3.58,9.0,1.107,136.5,140.5,Brandon Ashley,0
406,2015,PG,70.0,169.6,24.33,6.6,92.5,72.5,7.5,8.8,32.0,41.0,10.71,3.05,3.26,10.0,1.036,124.5,133.5,Ryan Boatright,1
407,2015,SG,76.5,205.8,24.72,8.3,102.5,80.25,8.75,9.0,27.5,34.5,10.27,2.75,3.28,8.0,1.049,130.0,137.0,Devin Booker,0
408,2015,SG/SF,77.75,211.0,24.54,6.1,104.5,83.0,8.5,9.0,27.5,34.5,10.94,3.29,3.18,4.0,1.068,132.0,139.0,Anthony Brown,0
410,2015,PF/C,80.25,242.6,26.48,9.6,110.5,89.25,9.25,9.0,29.0,32.0,11.6,3.3,3.47,9.0,1.112,139.5,142.5,Rakeem Christmas,0
411,2015,SG,76.0,215.0,26.17,10.2,96.0,80.0,8.5,9.3,37.5,44.0,10.58,3.08,3.2,13.0,1.053,133.5,140.0,Pat Connaughton,1
412,2015,PG,72.25,179.0,24.11,6.7,96.5,76.0,7.5,8.8,24.5,31.0,11.44,3.41,3.38,14.0,1.052,121.0,127.5,Quinn Cook,0
413,2015,PF,77.5,230.2,26.94,5.8,105.0,83.0,9.0,8.8,28.5,34.5,12.22,3.53,3.2,12.0,1.071,133.5,139.5,Branden Dawson,0
414,2015,SF,79.75,218.6,24.16,7.5,106.0,83.5,8.5,9.3,25.5,34.5,10.64,2.96,3.28,5.0,1.047,131.5,140.5,Sam Dekker,0
415,2015,SG,75.75,199.4,24.43,7.4,101.5,80.0,8.25,9.3,27.0,35.0,10.66,3.02,3.32,10.0,1.056,128.5,136.5,Michael Frazier II,0
